Biotrans,Month,california,Caribbean,brazil24,Brazil34,Japan_net,Biotrans_47,Azores_tows,NE_Atlantic,SE_Atlantic,Labrador_ Sea,Atlantic_current,Panama,Arabian,Biotrans_57,,
46.3,J,6.24E-02,6.72E-02,5.10E-02,5.00E-02,6.40E-02,3.00E-02,6.10E-02,6.30E-02,6.10E-02,1.60E-02,8.00E-02,5.70E-02,7.60E-02,1.00E-02,,
46.3,F,5.61E-02,6.42E-02,0.051582924,4.80E-02,7.40E-02,5.00E-02,6.40E-02,7.50E-02,6.10E-02,2.40E-02,9.10E-02,5.30E-02,8.20E-02,5.90E-03,,
46.3,M,4.38E-02,4.94E-02,0.052537746,5.10E-02,8.80E-02,4.40E-02,7.30E-02,1.00E-01,6.10E-02,8.40E-02,1.10E-01,5.00E-02,9.60E-02,5.70E-03,,
46.3,A,4.11E-02,4.36E-02,0.060688759,5.90E-02,1.10E-01,3.10E-01,7.50E-02,1.10E-01,6.10E-02,2.30E-01,1.50E-01,5.00E-02,6.60E-02,3.30E-01,,
46.3,MAY,4.01E-02,4.22E-02,0.070958678,6.60E-02,1.00E-01,1.60E-01,6.00E-02,8.70E-02,6.50E-02,1.80E-01,1.50E-01,5.20E-02,4.20E-02,2.50E-01,,
46.3,JUN,3.93E-02,4.13E-02,0.079082857,7.20E-02,8.90E-02,1.40E-01,4.50E-02,7.10E-02,6.90E-02,1.50E-01,1.40E-01,5.40E-02,3.80E-02,1.50E-01,,
46.3,JUL,3.86E-02,4.05E-02,0.085652092,6.80E-02,7.30E-02,1.30E-01,3.90E-02,5.80E-02,7.00E-02,1.40E-01,1.30E-01,5.50E-02,3.70E-02,1.30E-01,,
46.3,AUG,3.80E-02,3.99E-02,0.091424018,7.70E-02,6.10E-02,1.20E-01,3.70E-02,5.00E-02,6.40E-02,1.20E-01,1.20E-01,5.20E-02,3.70E-02,1.20E-01,,
46.3,S,3.77E-02,4.01E-02,0.08407779,9.90E-02,6.00E-02,1.00E-01,3.70E-02,4.80E-02,6.00E-02,1.10E-01,1.10E-01,5.10E-02,4.00E-02,1.00E-01,,
46.3,O,4.08E-02,4.53E-02,0.06400322,1.10E-01,6.40E-02,8.00E-02,4.20E-02,5.40E-02,5.90E-02,7.90E-02,8.60E-02,5.30E-02,4.30E-02,7.50E-02,,
46.3,N,4.92E-02,5.39E-02,0.054831215,7.90E-02,5.80E-02,5.60E-02,4.90E-02,5.70E-02,5.90E-02,4.50E-02,6.50E-02,5.50E-02,5.50E-02,4.40E-02,,
46.3,D,5.70E-02,6.21E-02,0.052152779,5.40E-02,5.80E-02,3.50E-02,5.20E-02,5.70E-02,6.00E-02,2.30E-02,5.00E-02,5.70E-02,6.50E-02,2.20E-02,,
