Sampling Area,Latitude,Lon,ind,net (?m),Cruise ,depth(m),Month,Month-year,Reference,COMMENTS,biomass (μgC/m3),biomass(gC/m3),biomass (molC/m3),biomass
BIOTRANS,47,-20,130.44,100,M6/7,0-100,A,1988 APRIL,"Schiebel et al., 2000 Deep Sea Research II","BIOTRANS AREA, sampling from 17to23W and 47to48N, day night sampling",1.10E+02,1.10E-04,9.19E-06,9.19E-03
BIOTRANS,47,-20,145.96,100,M6/7,0-100,A,1989 APRIL,,,1.23E+02,1.23E-04,1.03E-05,1.03E-02
BIOTRANS,47,-20,157.8066667,100,"M 21/1,2",0-100,A,1992 APRIL,,,1.33E+02,1.33E-04,1.11E-05,1.11E-02
BIOTRANS,47,-20,69.64,100,"M 21/1,2",0-100,MAY,1992 MAY,,,5.89E+01,5.89E-05,4.91E-06,4.91E-03
BIOTRANS,47,-20,9.723333333,100,M 6/7,0-100,MAY,1989 MAY,,,8.22E+00,8.22E-06,6.85E-07,6.85E-04
BIOTRANS,47,-20,46.12,100,POS 200/6,0-100,JUN,1993 JUNE,,,3.90E+01,3.90E-05,3.25E-06,3.25E-03
BIOTRANS,47,-20,5.79,100,M 10/04,0-100,AUG,1989 AUGUST,,,4.89E+00,4.89E-06,4.08E-07,4.08E-04
BIOTRANS,47,-20,20.21142857,100,M 21/6,0-100,AUG,1992 AUGUST,,,1.71E+01,1.71E-05,1.42E-06,1.42E-03
BIOTRANS,47,-20,20.692,100,METEOR 36/5,0-100,S,1996,"Schiebel et al., 2001 Deep_sea Research I",,1.75E+01,1.75E-05,1.46E-06,1.46E-03
BIOTRANS,47,-20,23.3,100,METEOR 36/5,0-100,O,1996,"Schiebel et al., 2001 Deep_sea Research I",,1.97E+01,1.97E-05,1.64E-06,1.64E-03
