Month,NA,Subantractica,Japan_Subtropic_trap,Japan_Temperate_trap,SO_1,SO_2,Azores_trap,Sargasso_trap,Papa_trap,Azores_tows,Arabian_trap,Cape_Blanc,W_Atlantic
J,6.05E-03,6.56E-01,3.37E-02,4.39E-02,2.39E-01,2.35E-01,1.64E-10,2.16E-02,4.67E-03,3.52E-03,0.081619174,1.70E-10,1.18E-10
F,2.07E-03,4.70E-01,4.08E-02,5.18E-02,2.51E-01,2.45E-01,3.49E-10,3.09E-02,4.83E-03,6.03E-03,0.115551482,2.81E-10,8.62E-11
M,7.10E-04,3.02E-01,8.49E-02,7.41E-02,1.83E-01,1.72E-01,9.36E-10,5.54E-02,7.93E-03,2.20E-02,0.072853283,3.69E-10,7.24E-11
A,3.43E-04,1.87E-01,2.45E-01,2.79E-01,8.05E-02,7.21E-02,6.92E-10,2.33E-01,2.17E-02,9.00E-02,0.041701781,2.18E-10,9.14E-11
MAY,1.81E-02,9.24E-02,4.50E-01,5.90E-01,2.83E-02,2.93E-02,2.83E-10,4.11E-01,5.29E-02,1.25E-01,0.02791277,1.02E-10,1.49E-10
JUN,6.08E-02,5.51E-02,4.75E-01,7.10E-01,1.14E-02,1.54E-02,1.34E-10,2.95E-01,9.35E-02,5.53E-02,0.020974501,5.74E-11,2.50E-10
JUL,1.59E-01,3.73E-02,3.88E-01,6.13E-01,1.06E-02,1.65E-02,7.68E-11,9.28E-02,8.87E-02,2.38E-02,0.017176481,3.79E-11,4.12E-10
AUG,2.53E-01,4.08E-02,2.62E-01,3.71E-01,3.32E-02,2.95E-02,5.22E-11,3.59E-02,5.33E-02,1.12E-02,0.015262259,2.80E-11,0.00E+00
S,2.56E-01,7.62E-02,1.65E-01,2.02E-01,4.29E-02,4.00E-02,4.02E-11,2.75E-02,3.04E-02,5.70E-03,0.015073328,2.46E-11,0.00E+00
O,1.60E-01,2.72E-01,1.04E-01,1.51E-01,5.06E-02,6.84E-02,4.25E-11,2.62E-02,2.04E-02,3.77E-03,0.015616041,2.95E-11,0.00E+00
N,5.45E-02,5.91E-01,6.37E-02,9.70E-02,1.08E-01,1.12E-01,6.52E-11,2.51E-02,1.28E-02,3.27E-03,0.021778415,4.66E-11,0.00E+00
D,1.79E-02,7.53E-01,3.40E-02,6.27E-02,1.73E-01,1.76E-01,1.02E-10,2.17E-02,6.41E-03,2.86E-03,0.041034247,8.72E-11,0.00E+00
