Month,California,Caribbean_Schiebel,Brazil23,Brazil34,Japan_net,Biotrans47,Azores_tows,NE_Atlantic,SE_Atlantic,Labrador_Sea,Atlantic_current,Panama,Arabian,Biotrans57
J,0.022386808,0.033200841,0.020942565,0.016349625,0.019689499,0.001943233,0.025091264,0.023902199,0.023753424,0.001035105,0.004836849,0.02217259,0.033486311,0.000949116
F,0.029325664,0.032539745,0.020773264,0.016799383,0.025082759,0.001107509,0.032881757,0.03125013,0.023764023,0.00026059,0.011477232,0.021496782,0.031870766,0.000210188
M,0.054076923,0.02148033,0.020897087,0.01865257,0.034214388,0.002485533,0.037353925,0.051942832,0.023567209,0.000260394,0.027843649,0.021446254,0.036537955,4.58E-05
A,0.07202107,0.016437358,0.02459225,0.026152868,0.051439064,0.024846605,0.032493086,0.059184715,0.02317174,0.005031134,0.06726607,0.021478009,0.02519518,5.41E-05
MAY,0.059390916,0.01553564,0.027971823,0.030225102,0.03967275,0.045826401,0.023946045,0.036832731,0.024182069,0.038304821,0.06507948,0.021720993,0.013461436,0.004474584
JUN,0.033018549,0.015281058,0.029053263,0.029412033,0.030823551,0.066082038,0.015273458,0.023843433,0.025688162,0.06108623,0.048894055,0.022640426,0.012733854,0.047563651
JUL,0.018545157,0.015050737,0.031465646,0.023551954,0.0231998,0.061727956,0.011421936,0.016894584,0.025789553,0.077439178,0.044431675,0.022510533,0.013628835,0.077558244
AUG,0.013443592,0.014789148,0.034167327,0.027817966,0.017891708,0.049963343,0.009540928,0.013024404,0.023453083,0.058808351,0.03957358,0.021799399,0.014350556,0.065774409
S,0.012045621,0.014833136,0.030411791,0.03975889,0.0173029,0.035855722,0.008689831,0.011286198,0.022525538,0.045344232,0.033259653,0.021658821,0.015034386,0.046842397
O,0.015257111,0.017374505,0.022731101,0.044767648,0.020542465,0.024869791,0.010373743,0.013863466,0.022624868,0.030385603,0.025062073,0.021483656,0.019423246,0.029995727
N,0.022951696,0.023856028,0.019727238,0.029311782,0.018416282,0.012204879,0.016755287,0.01816753,0.023086845,0.013536801,0.013456008,0.021007139,0.02938659,0.012922558
D,0.020811557,0.030305417,0.020555347,0.017272606,0.018416315,0.005426207,0.020031721,0.0203041,0.023539815,0.004133876,0.007505393,0.02171912,0.032972906,0.003949936
