DAILY,MONTHLY,DAILY (gC),Month,DAILY(mgC),,units: ind/m**2/day
14.2,127.8,1.20E+01,M,1.20E-02,,gCm-2md-1
19.88,596.4,1.70E+01,A,1.70E-02,,
56.63225806,1755.6,4.80E+01,MAY,4.80E-02,,
59.98333333,1799.5,5.10E+01,JUN,5.10E-02,,
33.09677419,1026,2.80E+01,JUL,2.80E-02,,
24.82903226,769.7,2.10E+01,AUG,2.10E-02,,
10.31,309.3,8.70E+00,S,8.70E-03,,
9.44516129,292.8,8.00E+00,O,8.00E-03,,
1,1,1.00E+00,N,1.00E-03,,
2.75483871,85.4,2.30E+00,D,2.30E-03,,
28.45483871,882.1,2.40E+01,J,2.40E-02,,
32.18214286,901.1,2.70E+01,F,2.70E-02,,
26.3,210.4,2.20E+01,M,2.20E-02,,
