DAILY,MONTHLY,DAILY(gC),month,DAILY (mgC),units: ind/m**2/day
533,5330,4.50E+02,S,4.50E-01,gCm-2md-1
238.2580645,7386,2.00E+02,O,2.00E-01,
649.8333333,19495,5.50E+02,N,5.50E-01,
957.8709677,29694,8.10E+02,D,8.10E-01,
903.8666667,28019.86667,7.60E+02,J,7.60E-01,
172.4285714,4828,1.50E+02,F,1.50E-01,
189.3043478,4354,1.60E+02,M,1.60E-01,
692.0666667,15917.53333,5.80E+02,A,5.80E-01,
1726.066667,51782,1.50E+03,MAY,1.50E+00,
662,19860,5.60E+02,JUN,5.60E-01,
783.5,23505,6.60E+02,JUL,6.60E-01,
305.483871,9470,2.60E+02,AUG,2.60E-01,
78,2340,6.60E+01,S,6.60E-02,
1258.645161,39018,1.10E+03,O,1.10E+00,
458,13740,3.90E+02,N,3.90E-01,
150.1935484,4656,1.30E+02,D,1.30E-01,
3.096774194,96,2.60E+00,J,2.60E-03,
5,140,4.20E+00,F,4.20E-03,
8.580645161,266,7.30E+00,M,7.30E-03,
135.9666667,4079,1.10E+02,A,1.10E-01,
316.6666667,5700,2.70E+02,MAY,2.70E-01,
124.3333333,3730,1.10E+02,JUN,1.10E-01,
83.29032258,2582,7.00E+01,JUL,7.00E-02,
90.03571429,2521,7.60E+01,AUG,7.60E-02,
107,1284,9.00E+01,N,9.00E-02,
248.4,7452,2.10E+02,D,2.10E-01,
410.4,8208,3.50E+02,J,3.50E-01,
95.42857143,2672,8.10E+01,F,8.10E-02,
1248.677419,38709,1.10E+03,M,1.10E+00,
5242,62904,4.40E+03,A,4.40E+00,
4462,93702,3.80E+03,MAY,3.80E+00,
1532.4,45972,1.30E+03,JUN,1.30E+00,
808,25048,6.80E+02,JUL,6.80E-01,
152.0967742,4715,1.30E+02,AUG,1.30E-01,
79.06666667,2372,6.70E+01,S,6.70E-02,
1258.64,31466,1.10E+03,O,1.10E+00,
3620,66970,3.10E+03,N,3.10E+00,
4506.435484,139699.5,3.80E+03,D,3.80E+00,
791.3225806,24531,6.70E+02,J,6.70E-01,
