DAILY,MONTHLY,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
31.3,751.2,2.60E+01,A,2.60E-02,gCm-2md-1
31.3,970.3,2.60E+01,MAY,2.60E-02,
14.5,435,1.20E+01,JUN,1.20E-02,
10.3,319.3,8.70E+00,JUL,8.70E-03,
6.293548387,195.1,5.30E+00,AUG,5.30E-03,
4.9,147,4.10E+00,S,4.10E-03,
4.9,49,4.10E+00,O,4.10E-03,
95.6,1816.4,8.10E+01,D,8.10E-02,
95.6,2963.6,8.10E+01,J,8.10E-02,
95.6,1147.2,8.10E+01,F,8.10E-02,
152.5,1067.5,1.30E+02,M,1.30E-01,
152.5,4575,1.30E+02,A,1.30E-01,
152.5,4727.5,1.30E+02,MAY,1.30E-01,
81,2430,6.80E+01,JUN,6.80E-02,
81,2430,6.80E+01,JUL,6.80E-02,
125.9,2392.1,1.10E+02,O,1.10E-01,
125.9,3777,1.10E+02,N,1.10E-01,
406.0724138,11776.1,3.40E+02,D,3.40E-01,
438.4,13590.4,3.70E+02,J,3.70E-01,
488.7076923,12706.4,4.10E+02,F,4.10E-01,
492.9,15279.9,4.20E+02,M,4.20E-01,
291.2863636,6408.3,2.50E+02,A,2.50E-01,
197.2,6113.2,1.70E+02,MAY,1.70E-01,
157.8666667,4262.4,1.30E+02,JUN,1.30E-01,
91,2730,7.70E+01,JUL,7.70E-02,
111.1290323,3445,9.40E+01,AUG,9.40E-02,
122.2,3666,1.00E+02,S,1.00E-01,
149.5,4634.5,1.30E+02,O,1.30E-01,
169,5070,1.40E+02,N,1.40E-01,
169,1521,1.40E+02,D,1.40E-01,
280,6440,2.40E+02,F,2.40E-01,
280,8680,2.40E+02,M,2.40E-01,
538.8266667,16164.8,4.60E+02,A,4.60E-01,
531.2612903,16469.1,4.50E+02,MAY,4.50E-01,
82.3,2469,7.00E+01,JUN,7.00E-02,
91.81,2754.3,7.80E+01,JUL,7.80E-02,
114,912,9.60E+01,AUG,9.60E-02,
152.85,4585.5,1.30E+02,S,1.30E-01,
191.7,5942.7,1.60E+02,O,1.60E-01,
191.7,5751,1.60E+02,N,1.60E-01,
218.8290323,6783.7,1.80E+02,D,1.80E-01,
191.7,5942.7,1.60E+02,J,1.60E-01,
471.0428571,13189.2,4.00E+02,F,4.00E-01,
490.3,14709,4.10E+02,M,4.10E-01,
282.1,6770.4,2.40E+02,A,2.40E-01,
212.7,6593.7,1.80E+02,MAY,1.80E-01,
175.3428571,4909.6,1.50E+02,JUN,1.50E-01,
160.4,4972.4,1.40E+02,JUL,1.40E-01,
128.8774194,3995.2,1.10E+02,AUG,1.10E-01,
90.6,2083.8,7.70E+01,O,7.70E-02,
90.6,2718,7.70E+01,N,7.70E-02,
90.6,634.2,7.70E+01,D,7.70E-02,
252.4,3533.6,2.10E+02,J,2.10E-01,
252.4,7067.2,2.10E+02,F,2.10E-01,
192.9,5787,1.60E+02,M,1.60E-01,
124.9,3747,1.10E+02,A,1.10E-01,
110.3645161,3421.3,9.30E+01,MAY,9.30E-02,
49.8,1494,4.20E+01,JUN,4.20E-02,
91.88,2756.4,7.80E+01,JUL,7.80E-02,
77.1,2390.1,6.50E+01,AUG,6.50E-02,
138.63,4158.9,1.20E+02,S,1.20E-01,
237.9,7374.9,2.00E+02,O,2.00E-01,
192,5760,1.60E+02,N,1.60E-01,
146.1,4529.1,1.20E+02,D,1.20E-01,
99.76451613,3092.7,8.40E+01,J,8.40E-02,
40.6,1136.8,3.40E+01,F,3.40E-02,
70.41176471,1197,5.90E+01,M,5.90E-02,
167.3,5019,1.40E+02,A,1.40E-01,
167.3,2844.1,1.40E+02,MAY,1.40E-01,
