Month,ind_California,ind_Caribbean_Schiebel,ind_Brazil23,ind_Brazil34,ind_Japan_net,ind_Biotrans47,ind_Azores_tows,ind_NE_Atlantic,ind_Africa,ind_Labrador_Sea,ind_Atlantic_current,ind_Panama,ind_Arabian,ind_Biotrans57
J,0.916168119,4.515222509,14.13717374,21.81663516,13.23155291,9.259559433,1.022048665,4.165140189,25.80682245,7.133376736,18.4241999,14.57485059,5.084612852,5.680261688
F,0.785592915,7.247861152,10.18016295,12.34180596,14.13864891,5.896199276,1.571460234,4.28509433,25.97045733,2.775724878,25.18034247,15.63470547,13.78854279,1.98052824
M,1.126712518,6.080496133,7.674877971,7.455822822,19.69161216,7.542779399,4.293332361,6.870031652,26.07515702,3.217807161,33.78594847,14.78724657,42.66326014,0.685291913
A,3.055754015,3.803049445,6.67999252,5.6144958,51.60079178,25.99128362,16.11667264,25.26998656,25.78555846,13.24742267,85.41659849,13.9735444,43.76964135,1.098153621
MAY,7.711041106,2.484873576,8.219619113,5.463034087,90.73575633,96.16899465,28.32952334,51.97314212,26.60353204,55.97127508,194.5311454,13.39198885,18.70342996,15.26161012
JUN,13.06661324,1.686106808,13.53068486,6.720706299,95.59287376,165.3491935,18.48840015,54.31495706,30.50282019,128.988577,207.0327615,13.27908201,9.532821074,58.80824947
JUL,11.44721429,1.172353003,25.51202123,7.765122911,74.20775055,188.4818052,9.503688009,37.83864325,36.84975182,176.9951455,185.3447448,13.62024982,5.376713457,120.9490826
AUG,6.875882636,0.826974493,48.56316997,10.53942455,49.52928097,177.9305458,4.750024933,22.90865141,37.36857705,166.9930073,159.2728461,14.00414812,3.154533485,146.382419
S,3.833023753,0.608925817,65.46755871,22.83147591,33.77556539,131.0674862,2.388361322,13.66033839,32.79656418,137.9144594,125.9725078,14.12396239,1.917511755,120.5094489
O,2.388696331,0.64217193,50.42863033,69.66713016,28.12901668,85.35739604,1.348720817,9.951008569,28.78776924,94.4181461,90.20757472,13.83576586,1.319359098,78.58415454
N,1.752703363,1.00252124,30.97733639,83.2876431,21.10129519,44.16612381,1.02945297,7.696780826,26.41125238,47.10618547,49.95603514,12.96438392,1.338778493,38.18108351
D,1.153234476,2.087130556,20.35416832,41.13827807,16.06482745,21.23479335,0.943473154,5.500401459,25.76853712,19.10272139,27.65374921,13.09729545,2.191879,15.65223816
